Program started...
Building Faulty versions for project biojava
Building next faulty Version biojava-124 with 13 faults, 133 failures, 512 passing Test Cases and 3057 relevant methods.
Building next faulty Version biojava-125 with 13 faults, 108 failures, 585 passing Test Cases and 3290 relevant methods.
Building next faulty Version biojava-126 with 13 faults, 40 failures, 611 passing Test Cases and 2789 relevant methods.
Building next faulty Version biojava-127 with 13 faults, 47 failures, 606 passing Test Cases and 2864 relevant methods.
Building next faulty Version biojava-128 with 13 faults, 71 failures, 575 passing Test Cases and 2650 relevant methods.
Building next faulty Version biojava-129 with 13 faults, 50 failures, 635 passing Test Cases and 2989 relevant methods.
Building next faulty Version biojava-130 with 13 faults, 79 failures, 568 passing Test Cases and 3065 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-13.xml
Building next faulty Version biojava-131 with 14 faults, 63 failures, 584 passing Test Cases and 2836 relevant methods.
Building next faulty Version biojava-132 with 14 faults, 78 failures, 615 passing Test Cases and 3138 relevant methods.
Building next faulty Version biojava-133 with 14 faults, 46 failures, 642 passing Test Cases and 2450 relevant methods.
Building next faulty Version biojava-134 with 14 faults, 65 failures, 626 passing Test Cases and 3047 relevant methods.
Building next faulty Version biojava-135 with 14 faults, 88 failures, 558 passing Test Cases and 3079 relevant methods.
Building next faulty Version biojava-136 with 14 faults, 79 failures, 567 passing Test Cases and 3167 relevant methods.
Building next faulty Version biojava-137 with 14 faults, 60 failures, 586 passing Test Cases and 2997 relevant methods.
Building next faulty Version biojava-138 with 14 faults, 85 failures, 602 passing Test Cases and 2820 relevant methods.
Building next faulty Version biojava-139 with 14 faults, 124 failures, 567 passing Test Cases and 3012 relevant methods.
Building next faulty Version biojava-140 with 14 faults, 49 failures, 632 passing Test Cases and 2953 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-14.xml
Building next faulty Version biojava-141 with 15 faults, 38 failures, 613 passing Test Cases and 2783 relevant methods.
Building next faulty Version biojava-142 with 15 faults, 51 failures, 595 passing Test Cases and 2822 relevant methods.
Building next faulty Version biojava-143 with 15 faults, 176 failures, 515 passing Test Cases and 3589 relevant methods.
Building next faulty Version biojava-144 with 15 faults, 54 failures, 628 passing Test Cases and 2742 relevant methods.
Building next faulty Version biojava-145 with 15 faults, 42 failures, 602 passing Test Cases and 2780 relevant methods.
Building next faulty Version biojava-146 with 15 faults, 60 failures, 628 passing Test Cases and 3082 relevant methods.
Building next faulty Version biojava-147 with 15 faults, 118 failures, 567 passing Test Cases and 2912 relevant methods.
Building next faulty Version biojava-148 with 15 faults, 92 failures, 593 passing Test Cases and 3062 relevant methods.
Building next faulty Version biojava-149 with 15 faults, 70 failures, 572 passing Test Cases and 2945 relevant methods.
Building next faulty Version biojava-150 with 15 faults, 52 failures, 594 passing Test Cases and 3243 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-15.xml
Building next faulty Version biojava-151 with 16 faults, 171 failures, 475 passing Test Cases and 3439 relevant methods.
Building next faulty Version biojava-152 with 16 faults, 70 failures, 577 passing Test Cases and 3114 relevant methods.
Building next faulty Version biojava-153 with 16 faults, 141 failures, 513 passing Test Cases and 3530 relevant methods.
Building next faulty Version biojava-154 with 16 faults, 46 failures, 635 passing Test Cases and 2746 relevant methods.
Building next faulty Version biojava-155 with 16 faults, 42 failures, 608 passing Test Cases and 2406 relevant methods.
Building next faulty Version biojava-156 with 16 faults, 91 failures, 594 passing Test Cases and 2909 relevant methods.
Building next faulty Version biojava-157 with 16 faults, 49 failures, 600 passing Test Cases and 2968 relevant methods.
Building next faulty Version biojava-158 with 16 faults, 114 failures, 573 passing Test Cases and 3105 relevant methods.
Building next faulty Version biojava-159 with 16 faults, 55 failures, 629 passing Test Cases and 2991 relevant methods.
Building next faulty Version biojava-160 with 16 faults, 108 failures, 580 passing Test Cases and 3262 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-16.xml
Building next faulty Version biojava-161 with 17 faults, 66 failures, 621 passing Test Cases and 2979 relevant methods.
Building next faulty Version biojava-162 with 17 faults, 58 failures, 588 passing Test Cases and 2892 relevant methods.
Building next faulty Version biojava-163 with 17 faults, 50 failures, 634 passing Test Cases and 2597 relevant methods.
Building next faulty Version biojava-164 with 17 faults, 114 failures, 571 passing Test Cases and 3142 relevant methods.
Building next faulty Version biojava-165 with 17 faults, 156 failures, 533 passing Test Cases and 3571 relevant methods.
Building next faulty Version biojava-166 with 17 faults, 120 failures, 535 passing Test Cases and 3571 relevant methods.
Building next faulty Version biojava-167 with 17 faults, 64 failures, 580 passing Test Cases and 2979 relevant methods.
Building next faulty Version biojava-168 with 17 faults, 65 failures, 623 passing Test Cases and 3211 relevant methods.
Building next faulty Version biojava-169 with 17 faults, 55 failures, 627 passing Test Cases and 2730 relevant methods.
Building next faulty Version biojava-170 with 17 faults, 114 failures, 536 passing Test Cases and 3391 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-17.xml
Building next faulty Version biojava-171 with 18 faults, 97 failures, 548 passing Test Cases and 3278 relevant methods.
Building next faulty Version biojava-172 with 18 faults, 120 failures, 562 passing Test Cases and 3488 relevant methods.
Building next faulty Version biojava-173 with 18 faults, 155 failures, 492 passing Test Cases and 3151 relevant methods.
Building next faulty Version biojava-174 with 18 faults, 76 failures, 613 passing Test Cases and 3213 relevant methods.
Building next faulty Version biojava-175 with 18 faults, 46 failures, 600 passing Test Cases and 3149 relevant methods.
Building next faulty Version biojava-176 with 18 faults, 48 failures, 593 passing Test Cases and 3108 relevant methods.
Building next faulty Version biojava-177 with 18 faults, 94 failures, 593 passing Test Cases and 3242 relevant methods.
Building next faulty Version biojava-178 with 18 faults, 92 failures, 556 passing Test Cases and 3283 relevant methods.
Building next faulty Version biojava-179 with 18 faults, 240 failures, 453 passing Test Cases and 3658 relevant methods.
Building next faulty Version biojava-180 with 18 faults, 53 failures, 635 passing Test Cases and 2879 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-18.xml
Building next faulty Version biojava-181 with 19 faults, 105 failures, 549 passing Test Cases and 3140 relevant methods.
Building next faulty Version biojava-182 with 19 faults, 143 failures, 546 passing Test Cases and 3392 relevant methods.
Building next faulty Version biojava-183 with 19 faults, 144 failures, 543 passing Test Cases and 3489 relevant methods.
Building next faulty Version biojava-184 with 19 faults, 78 failures, 569 passing Test Cases and 3288 relevant methods.
Building next faulty Version biojava-185 with 19 faults, 109 failures, 574 passing Test Cases and 3133 relevant methods.
Building next faulty Version biojava-186 with 19 faults, 70 failures, 581 passing Test Cases and 3308 relevant methods.
