Program started...
Building Faulty versions for project javaparser
Building next faulty Version javaparser-72 with 8 faults, 287 failures, 782 passing Test Cases and 2763 relevant methods.
Building next faulty Version javaparser-73 with 8 faults, 66 failures, 1003 passing Test Cases and 2495 relevant methods.
Building next faulty Version javaparser-74 with 8 faults, 15 failures, 1054 passing Test Cases and 2078 relevant methods.
Building next faulty Version javaparser-75 with 8 faults, 268 failures, 801 passing Test Cases and 2654 relevant methods.
Building next faulty Version javaparser-76 with 8 faults, 207 failures, 862 passing Test Cases and 2643 relevant methods.
Building next faulty Version javaparser-77 with 8 faults, 134 failures, 935 passing Test Cases and 2506 relevant methods.
Building next faulty Version javaparser-78 with 8 faults, 455 failures, 614 passing Test Cases and 2823 relevant methods.
Building next faulty Version javaparser-79 with 8 faults, 260 failures, 809 passing Test Cases and 2595 relevant methods.
Building next faulty Version javaparser-80 with 8 faults, 98 failures, 971 passing Test Cases and 2514 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-8.xml
Building next faulty Version javaparser-81 with 9 faults, 231 failures, 838 passing Test Cases and 2680 relevant methods.
Building next faulty Version javaparser-82 with 9 faults, 105 failures, 964 passing Test Cases and 2379 relevant methods.
Building next faulty Version javaparser-83 with 9 faults, 132 failures, 937 passing Test Cases and 2477 relevant methods.
Building next faulty Version javaparser-84 with 9 faults, 82 failures, 987 passing Test Cases and 2491 relevant methods.
Building next faulty Version javaparser-85 with 9 faults, 83 failures, 986 passing Test Cases and 2424 relevant methods.
Building next faulty Version javaparser-86 with 9 faults, 348 failures, 721 passing Test Cases and 2827 relevant methods.
Building next faulty Version javaparser-87 with 9 faults, 335 failures, 734 passing Test Cases and 2727 relevant methods.
Building next faulty Version javaparser-88 with 9 faults, 893 failures, 176 passing Test Cases and 3166 relevant methods.
Building next faulty Version javaparser-89 with 9 faults, 132 failures, 937 passing Test Cases and 2553 relevant methods.
Building next faulty Version javaparser-90 with 9 faults, 48 failures, 1021 passing Test Cases and 2334 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-9.xml
Building next faulty Version javaparser-91 with 10 faults, 187 failures, 882 passing Test Cases and 2486 relevant methods.
Building next faulty Version javaparser-92 with 10 faults, 92 failures, 977 passing Test Cases and 2518 relevant methods.
